,Year,Quarter,UKOS,Mode,Country,Purpose,Package,Age,Sex,Duration of trip,Number of visits,Number of nights,Expenditure,Sample,Continent,Length of stay,Period
0,2023,1,1,1,10,1,1,1,1.0,2,4327.762,30294.331,2473496.413,3.0,Europe,Medium stay,Jan - Mar
1,2023,1,1,1,10,1,1,1,2.0,1,1482.093,4446.28,395718.932,1.0,Europe,Short stay,Jan - Mar
2,2023,1,1,1,10,1,1,1,2.0,2,2356.4,17976.891,1885922.404,2.0,Europe,Medium stay,Jan - Mar
3,2023,1,1,1,10,1,1,2,1.0,2,10278.171,52140.224,8260875.139,6.0,Europe,Medium stay,Jan - Mar
4,2023,1,1,1,10,1,1,2,2.0,1,5241.563,15724.689,847512.731,3.0,Europe,Short stay,Jan - Mar
5,2023,1,1,1,10,1,1,2,2.0,2,3809.19,22245.123,3237262.109,3.0,Europe,Medium stay,Jan - Mar
6,2023,1,1,1,10,1,1,2,2.0,3,1461.815,20465.412,2192722.696,1.0,Europe,Medium stay,Jan - Mar
7,2023,1,1,1,10,1,1,3,1.0,1,6089.183,16383.303,2911105.013,4.0,Europe,Short stay,Jan - Mar
8,2023,1,1,1,10,1,1,3,1.0,2,7927.134,36318.329,5236439.183,5.0,Europe,Medium stay,Jan - Mar
9,2023,1,1,1,10,1,1,3,2.0,1,1473.068,2946.136,147306.821,1.0,Europe,Short stay,Jan - Mar
10,2023,1,1,1,10,1,1,3,2.0,2,3212.836,20199.911,3398321.894,2.0,Europe,Medium stay,Jan - Mar
11,2023,1,1,1,10,1,1,4,1.0,1,4704.084,12029.474,1766484.795,3.0,Europe,Short stay,Jan - Mar
12,2023,1,1,1,10,1,1,4,1.0,2,9495.517,48173.798,9480958.48,7.0,Europe,Medium stay,Jan - Mar
13,2023,1,1,1,10,1,1,4,2.0,1,1473.068,2946.136,636365.466,1.0,Europe,Short stay,Jan - Mar
14,2023,1,1,1,10,1,1,4,2.0,2,6859.881,48019.17,8857192.557,5.0,Europe,Medium stay,Jan - Mar
15,2023,1,1,1,10,1,1,5,1.0,2,22207.361,142294.062,43492826.05,13.0,Europe,Medium stay,Jan - Mar
16,2023,1,1,1,10,1,1,5,2.0,1,830.807,2492.422,1220455.751,1.0,Europe,Short stay,Jan - Mar
17,2023,1,1,1,10,1,1,5,2.0,2,6175.596,37959.997,3644277.747,3.0,Europe,Medium stay,Jan - Mar
18,2023,1,1,1,10,1,1,6,1.0,2,12699.04,84316.233,14721984.44,10.0,Europe,Medium stay,Jan - Mar
19,2023,1,1,1,10,1,1,6,1.0,3,1461.815,20465.412,3654537.826,1.0,Europe,Medium stay,Jan - Mar
20,2023,1,1,1,10,1,1,6,2.0,2,10818.235,63431.881,9234103.108,8.0,Europe,Medium stay,Jan - Mar
21,2023,1,1,1,10,1,1,7,1.0,2,3750.86,26256.022,4330113.321,4.0,Europe,Medium stay,Jan - Mar
22,2023,1,1,1,10,1,1,7,2.0,2,596.776,3580.653,149193.895,1.0,Europe,Medium stay,Jan - Mar
23,2023,1,1,1,10,1,1,7,2.0,3,596.776,12532.287,1909681.852,1.0,Europe,Medium stay,Jan - Mar
24,2023,1,1,1,10,1,1,9,,2,8952.241,56668.609,9449402.476,5.0,Europe,Medium stay,Jan - Mar
25,2023,1,1,1,10,1,1,9,,3,2253.006,31542.08,3433580.754,1.0,Europe,Medium stay,Jan - Mar
26,2023,1,1,1,10,1,1,9,1.0,2,4533.989,35687.196,4660796.422,3.0,Europe,Medium stay,Jan - Mar
27,2023,1,1,1,10,1,2,1,1.0,2,874.306,6120.144,1105997.51,1.0,Europe,Medium stay,Jan - Mar
28,2023,1,1,1,10,1,2,1,2.0,2,1473.068,8838.409,1937084.693,1.0,Europe,Medium stay,Jan - Mar
29,2023,1,1,1,10,1,2,2,1.0,2,1645.605,11519.237,1855145.622,3.0,Europe,Medium stay,Jan - Mar
30,2023,1,1,1,10,1,2,2,2.0,2,1145.311,6226.848,836222.111,2.0,Europe,Medium stay,Jan - Mar
31,2023,1,1,1,10,1,2,3,1.0,2,8282.392,54027.47,10225251.02,7.0,Europe,Medium stay,Jan - Mar
32,2023,1,1,1,10,1,2,3,2.0,2,3935.549,27548.845,4989820.88,6.0,Europe,Medium stay,Jan - Mar
33,2023,1,1,1,10,1,2,4,1.0,2,1881.852,13172.961,1129442.447,2.0,Europe,Medium stay,Jan - Mar
34,2023,1,1,1,10,1,2,4,2.0,1,1316.425,3949.274,770108.516,1.0,Europe,Short stay,Jan - Mar
35,2023,1,1,1,10,1,2,4,2.0,2,2680.562,20681.182,2254725.054,2.0,Europe,Medium stay,Jan - Mar
36,2023,1,1,1,10,1,2,5,1.0,2,17971.37,125799.592,20303802.2,11.0,Europe,Medium stay,Jan - Mar
37,2023,1,1,1,10,1,2,5,2.0,2,15045.373,99069.272,16771024.95,11.0,Europe,Medium stay,Jan - Mar
38,2023,1,1,1,10,1,2,6,1.0,2,8898.738,59658.315,11781644.86,11.0,Europe,Medium stay,Jan - Mar
39,2023,1,1,1,10,1,2,6,2.0,2,10092.278,71979.265,11050458.49,8.0,Europe,Medium stay,Jan - Mar
